271109008,2007-11-09,DET,103,LAC,79,59-42,42-87,26-74,48.3,35.1,7-17,3-13,41.2,23.1,12-18,24-28,66.7,85.7,72,51,6,11,13,7,53,33,27,12,3,2,5,3,24,26,16,13,8,7,-1,-1,19,19,1,1,0,0
271109010,2007-11-09,HOU,104,MIL,88,50-41,36-83,32-84,43.4,38.1,8-26,4-18,30.8,22.2,24-26,20-24,92.3,83.3,67,63,3,10,14,11,50,42,24,16,7,6,9,3,24,22,12,9,7,5,-1,-1,19,21,0,2,0,0
271109013,2007-11-09,LAL,107,MIN,93,56-50,36-76,37-95,47.4,38.9,5-18,8-21,27.8,38.1,30-41,11-14,73.2,78.6,78,68,11,6,16,18,51,44,28,19,10,10,7,5,36,30,22,18,21,4,-1,-1,18,30,0,0,0,0
271109014,2007-11-09,MIA,101,PHX,106,60-55,43-88,39-89,48.9,43.8,4-15,15-33,26.7,45.5,11-14,13-15,78.6,86.7,65,59,4,5,13,11,48,43,20,22,9,12,7,5,32,26,15,17,6,11,-1,-1,16,17,3,2,0,0
271109018,2007-11-09,NY,102,ORL,112,49-48,35-79,40-85,44.3,47.1,7-19,9-29,36.8,31.0,25-33,23-28,75.8,82.1,63,56,12,7,8,9,43,40,22,24,11,10,1,5,40,30,11,28,3,14,-1,-1,28,23,1,0,0,0
271109020,2007-11-09,PHI,103,TOR,105,39-47,40-88,34-74,45.5,45.9,7-21,9-18,33.3,50.0,16-23,28-37,69.6,75.7,61,69,8,11,13,13,40,45,22,25,7,7,4,2,22,32,14,11,12,7,-1,-1,23,20,0,0,0,0
271109022,2007-11-09,POR,110,MEM,98,49-61,42-82,37-89,51.2,41.6,6-13,7-21,46.2,33.3,20-24,17-24,83.3,70.8,59,67,8,8,8,15,43,44,24,19,8,4,9,3,26,24,16,11,22,10,-1,-1,25,27,3,0,0,0
271109023,2007-11-09,SAC,91,CLE,93,48-48,28-70,35-92,40.0,38.0,2-12,7-25,16.7,28.0,33-35,16-22,94.3,72.7,60,72,12,5,7,18,41,49,7,14,7,9,4,3,34,22,15,12,14,13,-1,-1,19,25,2,1,0,0
271109025,2007-11-09,SEA,101,UTAH,103,46-52,40-85,42-86,47.1,48.8,2-13,1-8,15.4,12.5,19-29,18-27,65.5,66.7,66,67,16,10,12,13,38,44,19,32,9,11,6,8,34,38,18,13,22,6,-1,-1,23,20,0,0,0,0
271109027,2007-11-09,WSH,92,DEN,118,51-60,31-81,45-88,38.3,51.1,7-20,12-25,35.0,48.0,23-31,16-19,74.2,84.2,68,63,10,7,14,13,44,43,19,32,9,15,7,0,52,38,16,28,22,16,-1,-1,17,25,0,1,0,0
271109030,2007-11-09,CHA,96,IND,87,40-43,32-71,34-80,45.1,42.5,5-14,6-20,35.7,30.0,27-44,13-20,61.4,65.0,78,55,12,6,14,10,52,39,19,17,9,6,4,4,32,30,18,12,6,11,-1,-1,22,28,0,3,0,0
271110004,2007-11-10,CHI,71,TOR,101,30-41,27-81,41-75,33.3,54.7,5-21,10-20,23.8,50.0,12-19,9-10,63.2,90.0,58,56,9,5,11,7,38,44,18,36,13,10,2,2,40,46,18,21,10,14,-1,-1,17,22,0,0,0,0
271110011,2007-11-10,IND,106,DEN,113,74-56,42-96,36-82,43.8,43.9,9-30,12-31,30.0,38.7,13-24,29-34,54.2,85.3,74,63,8,8,14,7,52,48,31,23,10,14,3,6,42,44,18,16,17,15,-1,-1,28,18,2,0,0,0
271110017,2007-11-10,NJ,101,BOS,112,52-59,33-74,36-79,44.6,45.6,5-14,10-19,35.7,52.6,30-37,30-35,81.1,85.7,49,65,9,4,6,12,34,49,19,27,6,9,10,3,28,26,17,13,8,9,-1,-1,28,24,0,3,0,0
