calculate_winner,calculate_winner_range,calculate_home_wins_percentage_home,calculate_away_wins_percentage_away,calculate_wins_percentage_overall_home,calculate_wins_percentage_overall_away,calculate_average_home_points_home,calculate_average_away_points_away,points_in_paint_home,points_in_paint_away,average_points_home,average_points_away,calculate_average_home_allowed_points_home,calculate_average_away_allowed_points_away,average_fouls_home,average_fouls_away,fast_break_points_home,fast_break_points_away,average_steals_home,average_steals_away,average_blocks_home,average_blocks_away,average_technical_fouls_home,average_technical_fouls_away,consecutive_away_games_home,consecutive_away_games_away,average_possessions_home,average_possessions_away,average_home_possessions_home,average_away_possessions_away,home_offensive_rating_home,away_offensive_rating_away
291111018,0,-2,0.20,0.50,0.12,0.71,103.40,100.75,9.25,16.86,99.62,106.86,109.60,104.25,22.50,22.57,15.75,16.43,8.38,6.57,4.88,7.57,0.75,0.29,0,0,102.93,98.99,102.58,97.94,100.80,102.87
291111019,0,-2,1.00,0.67,0.75,0.57,117.33,98.33,13.38,11.14,102.38,94.43,103.00,93.00,21.12,20.57,14.75,17.29,6.38,7.43,4.75,5.57,1.88,0.71,2,1,94.48,93.80,97.70,98.14,120.09,100.19
291111021,1,3,1.00,0.20,0.88,0.38,121.50,98.80,15.62,9.38,110.88,99.38,106.50,103.00,20.00,21.12,17.50,11.25,5.75,7.38,4.38,4.00,1.25,0.62,5,2,101.15,95.38,108.20,96.54,112.29,102.34
400828818,1,3,0.25,0.85,0.19,0.92,95.82,116.06,36.70,45.13,97.49,115.42,103.86,107.82,20.11,20.85,11.35,20.65,7.03,8.55,4.25,5.98,0.40,0.82,0,0,99.48,103.37,98.69,104.25,97.09,111.33
320209007,0,-2,0.54,0.25,0.58,0.36,100.69,98.25,51.00,38.18,103.69,98.55,97.31,102.38,18.50,23.64,21.00,13.95,9.04,9.00,5.04,5.32,1.08,0.77,0,0,116.16,111.40,114.96,110.58,87.59,88.85
291111024,1,2,1.00,0.67,0.50,0.71,119.00,98.00,9.67,13.29,104.17,104.43,104.67,92.67,23.50,20.86,16.17,18.00,5.67,7.43,4.33,6.57,0.67,0.14,0,0,94.30,97.79,95.93,98.84,124.05,99.15
240124018,0,-2,0.52,0.21,0.44,0.40,94.43,84.08,-1.00,-1.00,91.38,85.84,94.43,92.58,23.11,22.65,3.42,4.02,6.98,6.93,4.93,3.51,0.69,0.58,2,0,110.19,105.12,111.61,105.30,84.61,79.85
291111028,1,2,0.67,0.33,0.43,0.57,109.00,87.67,9.71,10.86,109.43,88.57,105.00,99.33,26.71,19.14,16.43,15.14,4.71,7.00,5.14,6.71,1.14,0.86,3,0,95.62,93.46,94.84,95.18,114.93,92.11
240124022,0,-3,0.67,0.18,0.42,0.40,95.38,88.41,-1.00,-1.00,91.15,93.36,93.71,96.41,19.05,20.48,3.65,3.86,6.70,7.07,4.28,4.12,0.97,0.60,2,2,105.60,109.47,105.33,108.30,90.55,81.63
240124024,0,-1,0.77,0.50,0.66,0.56,91.95,90.77,-1.00,-1.00,90.18,91.58,82.05,93.77,20.43,21.30,3.59,5.74,7.93,9.65,6.82,3.84,0.45,0.95,1,0,108.66,108.73,108.39,110.23,84.83,82.35
240124025,1,1,0.57,0.27,0.51,0.45,98.24,89.73,-1.00,-1.00,97.34,95.85,96.62,97.53,21.10,22.43,5.10,3.50,9.10,7.15,5.80,4.70,0.88,0.85,0,0,111.25,113.25,109.56,113.58,89.67,79.00
240124026,0,-2,0.77,0.33,0.50,0.62,94.18,98.67,-1.00,-1.00,91.12,99.08,88.50,103.72,25.14,21.40,4.69,5.08,7.07,8.55,6.31,4.47,0.79,1.10,1,2,109.48,112.17,107.69,113.15,87.45,87.20
240124027,1,2,0.44,0.70,0.29,0.73,89.39,89.39,-1.00,-1.00,88.73,89.11,90.17,87.17,20.90,21.38,5.34,3.67,9.90,8.73,5.10,5.47,0.66,0.82,1,0,113.24,106.37,111.78,108.19,79.97,82.62
320209021,0,-2,0.45,0.38,0.44,0.58,95.36,96.31,37.92,42.00,93.36,98.27,95.82,100.38,18.72,20.73,11.44,15.04,6.80,7.65,5.08,5.23,0.88,0.54,2,3,108.73,111.98,107.00,112.50,89.12,85.61
320209023,1,1,0.60,0.73,0.36,0.80,98.00,100.40,41.68,42.24,91.80,101.16,100.50,98.27,19.32,20.92,16.36,16.44,8.12,7.60,4.12,7.40,0.76,1.04,2,3,112.96,113.50,112.45,113.45,87.15,88.50
290128002,1,3,0.92,0.12,0.80,0.22,105.00,97.92,11.72,12.35,101.13,99.09,91.67,108.79,23.24,23.67,18.61,16.26,8.54,6.72,4.78,3.87,1.41,0.83,0,3,94.62,98.46,94.88,97.40,110.67,100.53
290128003,1,2,0.75,0.57,0.66,0.67,97.25,102.10,10.71,17.91,96.37,104.51,90.40,100.48,20.80,22.47,15.88,17.82,7.49,9.16,4.27,5.87,0.95,1.13,0,1,90.35,98.69,89.42,96.77,108.76,105.51
300327010,0,-2,0.56,0.60,0.51,0.74,103.17,99.83,14.27,11.28,101.58,102.40,101.75,98.00,20.86,19.39,16.52,16.88,6.96,7.82,3.90,4.86,0.42,0.97,0,2,98.57,97.45,98.45,96.83,104.79,103.10
290128006,1,3,0.65,0.17,0.57,0.31,101.35,103.12,15.07,17.71,99.86,107.31,99.55,113.17,18.73,21.78,14.91,16.27,7.02,7.93,5.43,6.60,0.57,0.89,4,0,95.15,102.77,95.22,102.49,106.44,100.61
301127020,1,3,0.33,0.25,0.19,0.33,96.83,92.38,19.12,9.67,97.56,93.00,95.33,96.12,23.62,22.47,18.19,12.47,7.75,4.20,4.75,4.53,0.62,0.60,3,1,97.97,92.58,96.71,91.38,100.12,101.09
290128010,0,-1,0.75,0.41,0.61,0.49,99.25,94.91,8.33,18.16,97.76,96.56,92.60,99.14,18.89,20.14,13.30,18.14,6.61,7.88,3.57,5.28,0.83,0.56,3,1,94.59,94.85,95.35,95.32,104.09,99.57
